000000A0 000000B4 0000000F 00000019 00000007 000F 01
00000008 00000008 00000000 00000019 00000007 0004 01
00000027 00000008 00000000 00000019 00000007 0004 01
00000046 00000008 00000000 00000019 00000007 0004 01
00000065 00000008 00000000 00000019 00000007 0004 01
00000084 00000008 00000000 00000019 00000007 0004 01
000000A3 00000008 00000000 00000019 00000007 0004 01
000000C2 00000008 00000000 00000019 00000007 0004 01
000000E1 00000008 00000000 00000019 00000007 0004 01
00000100 00000008 00000000 00000019 00000007 0004 01
0000011F 00000008 00000000 00000019 00000007 0004 01
00000008 00000015 00000000 00000019 00000007 0003 01
00000027 00000015 00000000 00000019 00000007 0003 01
00000046 00000015 00000000 00000019 00000007 0003 01
00000065 00000015 00000000 00000019 00000007 0003 01
00000084 00000015 00000000 00000019 00000007 0003 01
000000A3 00000015 00000000 00000019 00000007 0003 01
000000C2 00000015 00000000 00000019 00000007 0003 01
000000E1 00000015 00000000 00000019 00000007 0003 01
00000100 00000015 00000000 00000019 00000007 0003 01
0000011F 00000015 00000000 00000019 00000007 0003 01
00000008 00000022 00000000 00000019 00000007 0002 01
00000027 00000022 00000000 00000019 00000007 0002 01
00000046 00000022 00000000 00000019 00000007 0002 01
00000065 00000022 00000000 00000019 00000007 0002 01
00000084 00000022 00000000 00000019 00000007 0002 01
000000A3 00000022 00000000 00000019 00000007 0002 01
000000C2 00000022 00000000 00000019 00000007 0002 01
000000E1 00000022 00000000 00000019 00000007 0002 01
00000100 00000022 00000000 00000019 00000007 0002 01
0000011F 00000022 00000000 00000019 00000007 0002 01
00000008 0000002F 00000000 00000019 00000007 0001 01
00000027 0000002F 00000000 00000019 00000007 0001 01
00000046 0000002F 00000000 00000019 00000007 0001 01
00000065 0000002F 00000000 00000019 00000007 0001 01
00000084 0000002F 00000000 00000019 00000007 0001 01
000000A3 0000002F 00000000 00000019 00000007 0001 01
000000C2 0000002F 00000000 00000019 00000007 0001 01
000000E1 0000002F 00000000 00000019 00000007 0001 01
00000100 0000002F 00000000 00000019 00000007 0001 01
0000011F 0000002F 00000000 00000019 00000007 0001 01

